id,name,cpf
50a2d1c4-d788-4498-a6f7-dd75d4db588f,Stephanie Love,022.368.099-39
438005c2-dd1d-48aa-8bfd-7fb06851b5f8,Kristi Keller,456.834.011-10
5261268c-aa94-438a-921a-05efc0d414ac,Allison Oliver,834.182.657-42
f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,Nancy Austin,755.280.841-92
341ed9b2-1760-4720-a1b1-42681d273c63,Christy Rios,290.176.281-08
2660b7ac-6c46-4392-8ddc-26194c532341,Michael Mendoza,440.127.340-37
7e52ce3f-191d-4d27-a0a8-76706fd6173c,Beverly Peters,173.886.883-22
0000bd8e-496c-42aa-9430-fea7f9bd6a96,Connie Harrison,445.467.794-63
3b47f466-5256-41a1-951c-efee13597676,Carly Harris,558.953.498-93
2480125c-2d37-405c-96b9-ca32b2c75b33,Russell Mitchell,976.238.729-96
69731d27-9caa-46cf-8933-d01e29b20043,Jacqueline Pineda,335.817.484-20
7d0a9ece-1d73-43ea-98e7-8bbe21e890ec,Anthony Murillo,303.421.967-29
861181e6-5d97-48a8-bbe4-226caa976140,Aaron Williams,686.246.922-28
cc1816db-c3dd-4c16-8ea7-18fe313472b9,Brittany Johnson,830.784.983-46
1bf35f99-4627-4c80-a5f8-0797538eaf54,Ashley Santiago,154.817.523-06
96f4e93c-c759-4fc7-b4a3-c8a153858bea,Lori Butler,826.006.847-69
6faa20a4-1e8f-43a8-9a45-33ae5f675190,Tyrone Ryan,067.522.727-15
5bbca380-854e-47a4-ae5c-fd631650a115,Joseph Mcintyre,114.643.546-57
84ee8f13-e5a2-4988-8f65-daa65801c5d1,Dylan Lopez,309.465.860-99
e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,Michael Carter,368.023.514-00
3f1fc492-e8ed-4840-97a0-a56592fdc1d9,Yvonne Watson,742.193.223-93
3483e39a-260f-4974-9366-50c2d833307f,Melissa Lopez,970.792.079-47
0b4a904c-b6d7-4355-b1ff-3744b3831112,Nancy Hernandez MD,074.550.529-76
3c7a4cde-d92b-4d90-a731-9c0461ae8c90,Nicole Jackson,475.812.229-13
9ff834d1-4ca0-4dd5-bb53-ea96ad8611bb,Michael Williams,848.459.080-37
bbe9e834-7071-42d6-8970-aa7301b72ec2,Michael Cobb,791.720.496-39
a311b0c8-1b63-4405-8097-09a984512389,Ray Mitchell,491.143.323-61
24ea0325-a7d6-4388-b86c-7b51e5805b26,Timothy Waller,851.385.920-83
d6de888a-0aee-4f77-a7d4-daba8f0da415,Christopher Kim,596.772.763-64
3f3af4f6-a87b-4f03-8669-2e1a8e3c6d8b,Carlos Leon,820.538.073-49
5ed25035-4723-4154-823d-a8c8b4c02e51,Jacob Reeves,359.156.219-95
531465bc-638f-4adb-9b47-cf0c1dc55550,Daniel Small,294.422.274-03
d47a83f3-a765-4a20-b40c-e0993cf00e4f,Jasmine Murray,589.094.061-54
4b8b181e-668e-45d4-a8e3-7180a41cf064,Martin Barnes,592.221.201-70
6d91807a-84e4-47c1-8e47-925d52e0dd48,Mark Barnett,793.136.353-94
848485f0-198f-4efa-8335-707db71a7434,Kristin Mcintyre,482.156.258-07
90b6264d-1278-47c8-a418-6498aac365ba,Nichole Brown,659.500.399-82
